video_link,duration,title,views,likes,comments,date,month,year,date_month_year,day
https://www.youtube.com//watch?v=g2m97gPI70I,13,"When we design for disability, we all benefit | Elise Roy",107824,1800,138,16,8,2016,16/8/2016,Tue
https://www.youtube.com//watch?v=B4a0NvLTebw,11,"Why I keep speaking up, even when people mock my accent | Safwat Saleem",193502,4700,356,15,8,2016,15/8/2016,Mon
https://www.youtube.com//watch?v=dcwuBo4PvE0,17,Why Brexit happened -- and what to do next | Alexander Betts,1815658,25000,8565,12,8,2016,12/8/2016,Fri
https://www.youtube.com//watch?v=8yqAD0MX3Zk,10,How Syria's architecture laid the foundation for brutal war | Marwa Al-Sabouni,122618,1700,326,11,8,2016,11/8/2016,Thu
https://www.youtube.com//watch?v=Znc6TJAAXFU,8,"""Redemption Song"" | John Legend",304283,4000,159,10,8,2016,10/8/2016,Wed
https://www.youtube.com//watch?v=Sd7lvPpDDUg,5,"Clues to prehistoric times, found in blind cavefish | Prosanta Chakrabarty",73260,1700,89,9,8,2016,9/8/2016,Tue
https://www.youtube.com//watch?v=w4RLfVxTGH4,11,Why you think you're right -- even if you're wrong | Julia Galef,1893494,48000,2354,8,8,2016,8/8/2016,Mon
https://www.youtube.com//watch?v=uSUOdu_5MPc,17,How computers are learning to be creative | Blaise Agüera y Arcas,422273,9100,464,22,7,2016,22/7/2016,Fri
https://www.youtube.com//watch?v=P9B8PmUR64U,7,What can we learn from shortcuts? | Tom Hulme,152464,3500,115,21,7,2016,21/7/2016,Thu
https://www.youtube.com//watch?v=7sqeoYOQ4qg,14,How to fix a broken education system ... without any more money | Seema Bansal,245537,5400,389,20,7,2016,20/7/2016,Wed
https://www.youtube.com//watch?v=qYvXk_bqlBk,15,"Who are you, really? The puzzle of personality | Brian Little",9488306,234000,3934,19,7,2016,19/7/2016,Tue
https://www.youtube.com//watch?v=C44r6knuJtU,7,Why genetic research must be more diverse | Keolu Fox,71710,1400,143,15,7,2016,15/7/2016,Fri
https://www.youtube.com//watch?v=D55ctBYF3AY,15,How better tech could protect us from distraction | Tristan Harris,263309,6800,304,14,7,2016,14/7/2016,Thu
https://www.youtube.com//watch?v=-hY9QSdaReY,11,How a blind astronomer found a way to hear the stars | Wanda Diaz Merced,68193,1500,87,13,7,2016,13/7/2016,Wed
https://www.youtube.com//watch?v=cJg_tPB0Nu0,17,The birth of virtual reality as an art form | Chris Milk,115883,3000,195,11,7,2016,11/7/2016,Mon
https://www.youtube.com//watch?v=7LPJrzZaoZg,7,This scientist makes ears out of apples | Andrew Pelling,126202,2600,130,8,7,2016,8/7/2016,Fri
https://www.youtube.com//watch?v=OIpgrZ8yS-Q,9,The secret to effective nonviolent resistance | Jamila Raqib,142301,4300,251,7,7,2016,7/7/2016,Thu
https://www.youtube.com//watch?v=wlR1ojoiue0,13,3 reasons why we can win the fight against poverty | Andrew Youn,153781,3700,487,6,7,2016,6/7/2016,Wed
https://www.youtube.com//watch?v=XiDAztWWAuM,8,A highly scientific taxonomy of haters | Negin Farsad,156687,3200,1338,5,7,2016,5/7/2016,Tue
https://www.youtube.com//watch?v=YXWKuK-Qsu4,12,How college loans exploit students for profit | Sajay Samuel,221534,6500,847,2,7,2016,2/7/2016,Sat
https://www.youtube.com//watch?v=Kxg0_EpOcWs,6,"The Chinese zodiac, explained | ShaoLan",1215488,21000,2080,30,6,2016,30/6/2016,Thu
https://www.youtube.com//watch?v=CjB6DQGalU0,15,Every piece of art you've ever wanted to see -- up close and searchable | Amit Sood,97548,2200,106,29,6,2016,29/6/2016,Wed
https://www.youtube.com//watch?v=Kc0Kthyo0hU,16,What's so sexy about math? | Cédric Villani,615287,14000,1001,29,6,2016,29/6/2016,Wed
https://www.youtube.com//watch?v=afev0ZjAhUA,12,"The passing of time, caught in a single photo | Stephen Wilkes",194554,5100,313,28,6,2016,28/6/2016,Tue
https://www.youtube.com//watch?v=ktD119xbBtY,4,Ideas worth dating,131970,3100,150,27,6,2016,27/6/2016,Mon
https://www.youtube.com//watch?v=3dy4SGkSD8M,20,An entertainment icon on living a life of meaning | Norman Lear,87279,1100,100,25,6,2016,25/6/2016,Sat
https://www.youtube.com//watch?v=6LmPq7D-ds0,13,The real harm of the global arms trade | Samantha Nutt,79458,1600,284,23,6,2016,23/6/2016,Thu
https://www.youtube.com//watch?v=ddxHlkIuHqg,14,"A smarter, more precise way to think about public health | Sue Desmond-Hellmann",100990,1300,114,22,6,2016,22/6/2016,Wed
https://www.youtube.com//watch?v=nCwwVjPNloY,18,My journey from Marine to actor | Adam Driver,10461298,311000,9431,21,6,2016,21/6/2016,Tue
